Click here to return to Index,,,,,,,,,
,,,,,,,,,
Asthma Prevalence: Lifetime and current asthma prevalence (and associated 95% confidence intervals) for California and each county  ,,,,,,,,,
,,,,,,,,,
County,Year,Asthma measure,Comparison,Group,County prevalence,County 95% confidence interval,California prevalence,California 95% confidence interval,Comment
Alameda,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Alpine,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Amador,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Butte,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Calaveras,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Colusa,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Contra Costa,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Del Norte,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
El Dorado,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Fresno,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Glenn,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Humboldt,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Imperial,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Inyo,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Kern,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Kings,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Lake,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Lassen,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Los Angeles,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,6.50%,(1.2 11.7),4.80%,(2.7 6.8),None
Madera,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Marin,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Mariposa,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Mendocino,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Merced,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Modoc,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Mono,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Monterey,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Napa,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Nevada,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Orange,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Placer,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Plumas,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Riverside,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Sacramento,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Benito,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Bernardino,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Diego,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Francisco,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Joaquin,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Luis Obispo,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
San Mateo,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Santa Barbara,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Santa Clara,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Santa Cruz,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Shasta,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Sierra,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Siskiyou,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Solano,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Sonoma,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Stanislaus,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Sutter,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Tehama,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Trinity,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Tulare,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Tuolumne,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Ventura,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Yolo,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Yuba,2017 2018,Lifetime asthma prevalence,Age group,0 4 years,Not available,Not available,4.80%,(2.7 6.8),County prevalence not available due to small number of survey responses.
Alameda,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,15.40%,(4.1 26.7),17.10%,(14.4 19.7),None
Alpine,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Amador,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Butte,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Calaveras,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Colusa,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Contra Costa,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Del Norte,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
El Dorado,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Fresno,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,24.10%,(4.7 43.6),17.10%,(14.4 19.7),None
Glenn,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Humboldt,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Imperial,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Inyo,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Kern,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Kings,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Lake,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Lassen,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Los Angeles,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,17.90%,(12.3 23.5),17.10%,(14.4 19.7),None
Madera,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Marin,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Mariposa,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Mendocino,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Merced,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Modoc,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Mono,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Monterey,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Napa,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Nevada,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Orange,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,13.60%,(2.5 24.8),17.10%,(14.4 19.7),None
Placer,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Plumas,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Riverside,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,20.50%,(8.4 32.5),17.10%,(14.4 19.7),None
Sacramento,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,17.90%,(3.0 32.7),17.10%,(14.4 19.7),None
San Benito,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
San Bernardino,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,18.30%,(4.9 31.7),17.10%,(14.4 19.7),None
San Diego,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,13.50%,(6.3 20.6),17.10%,(14.4 19.7),None
San Francisco,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
San Joaquin,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,35.40%,(5.2 65.6),17.10%,(14.4 19.7),None
San Luis Obispo,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
San Mateo,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Santa Barbara,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Santa Clara,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,18.50%,(5.2 31.7),17.10%,(14.4 19.7),None
Santa Cruz,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Shasta,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Sierra,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Siskiyou,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Solano,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Sonoma,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Stanislaus,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Sutter,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Tehama,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Colusa, Glenn, and Tehama counties combined for analysis. County prevalence not available due to small number of survey responses."
Trinity,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis. County prevalence not available due to small number of survey responses."
Tulare,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Tuolumne,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis. County prevalence not available due to small number of survey responses."
Ventura,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Yolo,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Yuba,2017 2018,Lifetime asthma prevalence,Age group,5 17 years,Not available,Not available,17.10%,(14.4 19.7),County prevalence not available due to small number of survey responses.
Alameda,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,13.20%,(9.1 17.3),16.30%,(15.5 17.1),None
Alpine,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,25.50%,(9.7 41.4),16.30%,(15.5 17.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Amador,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,25.50%,(9.7 41.4),16.30%,(15.5 17.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Butte,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,19.60%,(10.3 28.8),16.30%,(15.5 17.1),None
Calaveras,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,25.50%,(9.7 41.4),16.30%,(15.5 17.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Colusa,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,19.80%,(10.2 29.5),16.30%,(15.5 17.1),"Colusa, Glenn, and Tehama counties combined for analysis."
Contra Costa,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,21.00%,(15.1 26.8),16.30%,(15.5 17.1),None
Del Norte,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(8.0 32.8),16.30%,(15.5 17.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
El Dorado,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,19.70%,(6.3 33.1),16.30%,(15.5 17.1),None
Fresno,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,21.20%,(14.6 27.7),16.30%,(15.5 17.1),None
Glenn,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,19.80%,(10.2 29.5),16.30%,(15.5 17.1),"Colusa, Glenn, and Tehama counties combined for analysis."
Humboldt,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,18.00%,(9.9 26.1),16.30%,(15.5 17.1),None
Imperial,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.60%,(6.9 26.4),16.30%,(15.5 17.1),None
Inyo,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,25.50%,(9.7 41.4),16.30%,(15.5 17.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Kern,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.70%,(9.0 24.5),16.30%,(15.5 17.1),None
Kings,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,15.50%,(9.1 22.0),16.30%,(15.5 17.1),None
Lake,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,14.60%,(6.5 22.8),16.30%,(15.5 17.1),None
Lassen,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(8.0 32.8),16.30%,(15.5 17.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Los Angeles,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,14.90%,(13.3 16.5),16.30%,(15.5 17.1),None
Madera,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,19.30%,(10.4 28.1),16.30%,(15.5 17.1),None
Marin,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,15.60%,(7.4 23.8),16.30%,(15.5 17.1),None
Mariposa,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,25.50%,(9.7 41.4),16.30%,(15.5 17.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Mendocino,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,14.70%,(2.8 26.6),16.30%,(15.5 17.1),None
Merced,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.00%,(6.7 25.2),16.30%,(15.5 17.1),None
Modoc,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(8.0 32.8),16.30%,(15.5 17.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Mono,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,25.50%,(9.7 41.4),16.30%,(15.5 17.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis."
Monterey,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,15.50%,(7.3 23.7),16.30%,(15.5 17.1),None
Napa,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,26.00%,(9.4 42.6),16.30%,(15.5 17.1),None
Nevada,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,22.40%,(6.5 38.3),16.30%,(15.5 17.1),None
Orange,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,12.80%,(8.9 16.7),16.30%,(15.5 17.1),None
Placer,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.50%,(6.1 26.9),16.30%,(15.5 17.1),None
Plumas,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(8.0 32.8),16.30%,(15.5 17.1),None
Riverside,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.40%,(8.9 23.8),16.30%,(15.5 17.1),None
Sacramento,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,22.50%,(17.0 27.9),16.30%,(15.5 17.1),None
San Benito,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,Not available,Not available,16.30%,(15.5 17.1),County prevalence not available due to small number of survey responses.
San Bernardino,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.60%,(12.3 20.9),16.30%,(15.5 17.1),None
San Diego,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.80%,(13.2 20.3),16.30%,(15.5 17.1),None
San Francisco,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,13.80%,(8.4 19.2),16.30%,(15.5 17.1),None
San Joaquin,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,23.80%,(14.0 33.5),16.30%,(15.5 17.1),None
San Luis Obispo,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,14.40%,(6.6 22.2),16.30%,(15.5 17.1),None
San Mateo,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,16.20%,(8.9 23.5),16.30%,(15.5 17.1),None
Santa Barbara,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,18.00%,(0.4 35.6),16.30%,(15.5 17.1),None
Santa Clara,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,14.90%,(11.0 18.9),16.30%,(15.5 17.1),None
Santa Cruz,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,17.50%,(9.8 25.2),16.30%,(15.5 17.1),None
Shasta,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,14.30%,(4.8 23.9),16.30%,(15.5 17.1),None
Sierra,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(8.0 32.8),16.30%,(15.5 17.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Siskiyou,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,20.40%,(8.0 32.8),16.30%,(15.5 17.1),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis."
Solano,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,23.10%,(10.6 35.6),16.30%,(15.5 17.1),None
Sonoma,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,18.30%,(6.3 30.3),16.30%,(15.5 17.1),None
Stanislaus,2017 2018,Lifetime asthma prevalence,Age group,18 64 years,18.20%,(9.3 27.2),16.30%,(15.5 17.1),None
